Copper,Nickel,Chloramphenicol,Ampicillin,Metaldehyde,Atrazine,Tebuconazole,Azoxystrobin,Dest.Column,Dest.Row,Dest.Plate
0,1,1,1,1,1,0,0,1,G,6
0,1,1,1,1,0,1,0,1,H,6
0,1,1,1,1,0,0,1,2,A,6
0,1,1,1,0,1,1,0,2,B,6
0,1,1,1,0,1,0,1,2,C,6
0,1,1,1,0,0,1,1,2,D,6
0,1,1,0,1,1,1,0,2,E,6
0,1,1,0,1,1,0,1,2,F,6
0,1,1,0,1,0,1,1,2,G,6
0,1,1,0,0,1,1,1,2,H,6
0,1,0,1,1,1,1,0,3,A,6
0,1,0,1,1,1,0,1,3,B,6
0,1,0,1,1,0,1,1,3,C,6
0,1,0,1,0,1,1,1,3,D,6
0,1,0,0,1,1,1,1,3,E,6
0,0,1,1,1,1,1,0,3,F,6
0,0,1,1,1,1,0,1,3,G,6
0,0,1,1,1,0,1,1,3,H,6
0,0,1,1,0,1,1,1,4,A,6
0,0,1,0,1,1,1,1,4,B,6
0,0,0,1,1,1,1,1,4,C,6
1,1,1,1,1,1,0,0,4,D,6
1,1,1,1,1,0,1,0,4,E,6
1,1,1,1,1,0,0,1,4,F,6
1,1,1,1,0,1,1,0,4,G,6
1,1,1,1,0,1,0,1,4,H,6
1,1,1,1,0,0,1,1,5,A,6
1,1,1,0,1,1,1,0,5,B,6
1,1,1,0,1,1,0,1,5,C,6
1,1,1,0,1,0,1,1,5,D,6
1,1,1,0,0,1,1,1,5,E,6
1,1,0,1,1,1,1,0,5,F,6
1,1,0,1,1,1,0,1,5,G,6
1,1,0,1,1,0,1,1,5,H,6
1,1,0,1,0,1,1,1,6,A,6
1,1,0,0,1,1,1,1,6,B,6
1,0,1,1,1,1,1,0,6,C,6
1,0,1,1,1,1,0,1,6,D,6
1,0,1,1,1,0,1,1,6,E,6
1,0,1,1,0,1,1,1,6,F,6
1,0,1,0,1,1,1,1,6,G,6
1,0,0,1,1,1,1,1,6,H,6
0,1,1,1,1,1,1,0,7,A,6
0,1,1,1,1,1,0,1,7,B,6
0,1,1,1,1,0,1,1,7,C,6
0,1,1,1,0,1,1,1,7,D,6
0,1,1,0,1,1,1,1,7,E,6
0,1,0,1,1,1,1,1,7,F,6
0,0,1,1,1,1,1,1,7,G,6
1,1,1,1,1,1,1,0,7,H,6
1,1,1,1,1,1,0,1,8,A,6
1,1,1,1,1,0,1,1,8,B,6
1,1,1,1,0,1,1,1,8,C,6
1,1,1,0,1,1,1,1,8,D,6
1,1,0,1,1,1,1,1,8,E,6
1,0,1,1,1,1,1,1,8,F,6
0,1,1,1,1,1,1,1,8,G,6
1,1,1,1,1,1,1,1,8,H,6
0,0,0,0,0,0,0,0,9,A,6
